run_id,stage,top_n,lookback_days,min_amount,max_weight_per_stock,dividend_weight,volatility_weight,value_weight,total_return,annual_return,max_drawdown,sharpe,turnover,trade_count,status,error,elapsed_sec
121,A,5,180,10000.0,,0.8,0.2,0.0,0.682764993135198,0.11438122212569479,-0.16092894941594826,0.7307009489288068,52.61711745920337,414,ok,,4.294488
122,A,5,180,10000.0,,0.5,0.4,0.1,1.2804155135187285,0.18713475674803037,-0.10828176074329188,1.3895137476930208,39.50090577442221,376,ok,,3.973066
123,A,5,180,10000.0,,0.6,0.3,0.1,1.6347308267337897,0.22335373599145347,-0.127473567990796,1.5446515025574896,45.520776900513454,392,ok,,3.801046
124,A,5,180,10000.0,,0.7,0.2,0.1,1.4996065270578796,0.2100243238944195,-0.1640426484483164,1.3174011932492256,45.90837713730467,399,ok,,3.971708
125,A,5,180,10000.0,,0.5,0.3,0.2,1.2584639488857872,0.18474766218090122,-0.1117799246284229,1.348553080224271,43.98558768440936,384,ok,,3.998191
126,A,5,180,10000.0,,0.6,0.2,0.2,1.4302456523434994,0.20295921534076866,-0.12963493687032424,1.3330801767842866,44.073831834019316,386,ok,,3.999281
127,A,5,180,50000.0,,0.5,0.5,0.0,0.9232121020539632,0.14578708452564304,-0.09814112402484398,1.1364232410800894,41.93147209540761,380,ok,,116.694095
128,A,5,180,50000.0,,0.6,0.4,0.0,0.9746473454395561,0.15209728724241267,-0.14016809535676278,1.1342296790299713,52.18769303716819,409,ok,,4.904366
129,A,5,180,50000.0,,0.7,0.3,0.0,0.7529626317430906,0.12389893159367116,-0.13731879036277062,0.8681542461869309,55.03862873611734,422,ok,,3.729951
130,A,5,180,50000.0,,0.8,0.2,0.0,0.7804650606047501,0.12754563874933367,-0.1442773001811558,0.7957329639872628,55.13976179967567,424,ok,,3.829568
131,A,5,180,50000.0,,0.5,0.4,0.1,1.2702186825547455,0.18602818915921548,-0.09882188623149835,1.369648947844324,38.054489003229655,366,ok,,3.653037
132,A,5,180,50000.0,,0.6,0.3,0.1,1.6121720683620904,0.22116665539336822,-0.09244770156392434,1.5498109710165402,46.136502372433284,387,ok,,3.688172
